@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{  "Driving", "Walking" , "Jogging" , "Upstairs" , "Downstairs" , "Sitting" , "Standing", "Still" }

@data
0.06,0.28,0.35,0.29,0.03,0.12,0.24,0.26,0.29,0.09,0.05,0.13,0.35,0.31,0.15,-3.44,2.86,-8.89,0.48,0.52,0.48,7.99,Driving
0.11,0.37,0.25,0.24,0.02,0.14,0.26,0.30,0.25,0.05,0.06,0.23,0.44,0.23,0.03,-2.71,1.90,-9.36,0.36,0.46,0.39,7.95,Driving
0.07,0.27,0.20,0.35,0.11,0.24,0.33,0.13,0.27,0.03,0.06,0.22,0.34,0.31,0.06,-2.54,1.72,-9.45,0.39,0.45,0.36,7.97,Driving
0.10,0.34,0.38,0.16,0.02,0.07,0.19,0.43,0.26,0.05,0.07,0.36,0.44,0.11,0.03,-2.94,2.42,-9.17,0.34,0.36,0.43,7.96,Driving
0.07,0.32,0.41,0.17,0.03,0.04,0.21,0.32,0.37,0.06,0.02,0.18,0.56,0.22,0.02,-2.85,2.08,-9.29,0.35,0.54,0.47,7.97,Driving
0.06,0.31,0.40,0.18,0.04,0.07,0.26,0.32,0.30,0.05,0.03,0.24,0.50,0.21,0.03,-2.74,1.95,-9.34,0.39,0.56,0.50,7.97,Driving
0.13,0.25,0.25,0.35,0.02,0.13,0.23,0.29,0.27,0.08,0.12,0.44,0.23,0.13,0.08,-2.38,1.46,-9.53,0.36,0.43,0.51,7.96,Driving
0.02,0.14,0.51,0.29,0.04,0.03,0.22,0.42,0.27,0.05,0.02,0.09,0.48,0.37,0.04,-2.48,1.51,-9.56,0.31,0.37,0.50,8.01,Driving
0.02,0.23,0.50,0.22,0.03,0.02,0.16,0.38,0.36,0.08,0.01,0.07,0.47,0.42,0.03,-2.56,1.61,-9.52,0.31,0.37,0.45,8.00,Driving
0.05,0.18,0.49,0.26,0.02,0.04,0.34,0.36,0.15,0.10,0.01,0.06,0.37,0.51,0.06,-2.68,1.89,-9.41,0.37,0.62,0.47,7.99,Driving
0.03,0.21,0.43,0.28,0.04,0.03,0.22,0.32,0.21,0.22,0.01,0.02,0.16,0.56,0.25,-2.84,2.18,-9.30,0.38,0.66,0.45,8.00,Driving
0.03,0.16,0.34,0.30,0.17,0.02,0.15,0.22,0.34,0.27,0.01,0.21,0.28,0.31,0.20,-3.18,2.91,-9.00,0.29,0.31,0.31,7.99,Driving
0.01,0.04,0.26,0.57,0.13,0.27,0.65,0.05,0.00,0.03,0.07,0.37,0.47,0.08,0.01,-2.60,1.76,-9.47,0.17,0.24,0.26,7.98,Driving
0.06,0.37,0.30,0.19,0.07,0.14,0.39,0.45,0.01,0.01,0.09,0.40,0.47,0.04,0.00,-2.51,1.65,-9.51,0.22,0.28,0.24,7.98,Driving
0.11,0.28,0.33,0.19,0.09,0.09,0.26,0.31,0.33,0.01,0.06,0.26,0.52,0.16,0.00,-2.68,1.86,-9.41,0.30,0.38,0.25,7.97,Driving
0.18,0.38,0.22,0.15,0.07,0.05,0.15,0.20,0.23,0.38,0.02,0.11,0.21,0.49,0.17,-2.76,1.98,-9.35,0.30,0.38,0.24,7.97,Driving
0.27,0.57,0.10,0.03,0.05,0.03,0.03,0.06,0.31,0.56,0.02,0.04,0.13,0.53,0.28,-2.91,2.16,-9.26,0.23,0.28,0.18,7.96,Driving
0.05,0.26,0.30,0.28,0.10,0.05,0.28,0.29,0.24,0.14,0.10,0.33,0.25,0.22,0.11,-3.01,2.27,-9.20,0.05,0.06,0.11,7.95,Driving
0.10,0.27,0.27,0.25,0.10,0.17,0.26,0.25,0.25,0.08,0.16,0.30,0.21,0.22,0.11,-3.01,2.27,-9.20,0.05,0.07,0.12,7.95,Driving
0.11,0.28,0.25,0.27,0.10,0.24,0.22,0.20,0.25,0.09,0.15,0.31,0.20,0.24,0.10,-3.01,2.27,-9.20,0.05,0.07,0.13,7.95,Driving
0.12,0.26,0.23,0.29,0.09,0.23,0.21,0.20,0.26,0.10,0.18,0.28,0.18,0.24,0.12,-3.01,2.27,-9.20,0.05,0.08,0.13,7.95,Driving
0.12,0.26,0.23,0.30,0.10,0.23,0.22,0.18,0.28,0.10,0.20,0.26,0.18,0.25,0.11,-3.01,2.27,-9.20,0.05,0.08,0.14,7.95,Driving
0.12,0.25,0.24,0.29,0.09,0.23,0.22,0.16,0.28,0.10,0.20,0.27,0.17,0.23,0.13,-3.01,2.27,-9.20,0.05,0.08,0.14,7.95,Driving
0.13,0.17,0.31,0.23,0.17,0.31,0.23,0.10,0.25,0.10,0.21,0.23,0.17,0.27,0.13,-3.01,2.27,-9.19,0.05,0.08,0.14,7.95,Driving
0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,-3.03,2.16,-9.04,0.00,0.00,0.00,7.82,Driving
0.16,0.23,0.21,0.24,0.15,0.26,0.20,0.22,0.19,0.13,0.20,0.22,0.18,0.20,0.20,-3.01,2.27,-9.19,0.05,0.08,0.14,7.95,Driving
0.18,0.22,0.25,0.30,0.06,0.19,0.25,0.20,0.23,0.13,0.21,0.25,0.16,0.20,0.17,-3.01,2.27,-9.19,0.05,0.08,0.14,7.95,Driving
0.03,0.01,0.07,0.17,0.72,0.81,0.09,0.05,0.02,0.03,0.31,0.26,0.32,0.07,0.03,-3.08,2.37,-9.15,0.18,0.27,0.18,7.95,Driving
0.10,0.10,0.11,0.14,0.55,0.61,0.09,0.13,0.14,0.03,0.30,0.35,0.20,0.13,0.02,-3.21,2.55,-9.06,0.29,0.40,0.24,7.97,Driving
0.15,0.28,0.35,0.19,0.03,0.02,0.20,0.34,0.33,0.11,0.02,0.14,0.43,0.31,0.10,-3.26,2.64,-9.03,0.31,0.44,0.27,7.97,Driving
0.22,0.35,0.14,0.21,0.09,0.13,0.17,0.14,0.38,0.17,0.10,0.20,0.25,0.33,0.13,-3.07,2.35,-9.15,0.52,0.77,0.40,7.99,Driving
0.10,0.30,0.19,0.33,0.09,0.11,0.28,0.19,0.24,0.19,0.10,0.28,0.31,0.23,0.09,-2.90,2.10,-9.27,0.48,0.70,0.37,7.99,Driving
0.07,0.48,0.11,0.28,0.06,0.06,0.25,0.13,0.46,0.09,0.10,0.27,0.46,0.16,0.02,-2.81,1.94,-9.35,0.37,0.52,0.29,7.98,Driving
0.03,0.57,0.10,0.23,0.07,0.13,0.19,0.07,0.55,0.06,0.05,0.16,0.23,0.40,0.15,-2.79,1.94,-9.35,0.35,0.43,0.25,7.97,Driving
0.13,0.21,0.24,0.24,0.17,0.19,0.27,0.17,0.26,0.11,0.15,0.29,0.18,0.23,0.14,-3.04,2.25,-9.19,0.06,0.08,0.14,7.95,Driving
0.12,0.22,0.24,0.25,0.17,0.18,0.27,0.16,0.27,0.12,0.18,0.28,0.17,0.25,0.13,-3.04,2.26,-9.19,0.06,0.08,0.14,7.95,Driving
0.14,0.31,0.32,0.20,0.03,0.09,0.22,0.28,0.27,0.14,0.18,0.22,0.29,0.21,0.10,-3.03,2.25,-9.18,0.05,0.08,0.12,7.94,Driving
0.15,0.18,0.29,0.24,0.15,0.18,0.24,0.24,0.22,0.12,0.16,0.19,0.30,0.18,0.18,-3.03,2.24,-9.19,0.06,0.08,0.14,7.95,Driving
0.17,0.17,0.02,0.42,0.22,0.27,0.36,0.03,0.10,0.24,0.09,0.34,0.28,0.22,0.07,-3.27,2.72,-9.01,0.52,0.60,0.40,8.00,Driving
0.17,0.17,0.02,0.42,0.22,0.28,0.36,0.03,0.10,0.24,0.09,0.34,0.28,0.21,0.07,-3.27,2.71,-9.02,0.52,0.60,0.40,8.00,Driving
0.15,0.53,0.14,0.11,0.07,0.16,0.56,0.17,0.10,0.01,0.03,0.37,0.46,0.13,0.02,-2.69,2.60,-9.18,0.85,0.57,0.48,7.98,Driving
0.11,0.32,0.26,0.22,0.09,0.12,0.34,0.37,0.15,0.02,0.03,0.43,0.45,0.07,0.02,-2.18,2.87,-9.24,0.75,0.63,0.46,7.98,Driving
0.12,0.29,0.27,0.23,0.09,0.12,0.31,0.39,0.16,0.02,0.04,0.42,0.45,0.08,0.02,-2.16,2.89,-9.24,0.75,0.63,0.46,7.97,Driving
0.19,0.22,0.27,0.12,0.20,0.10,0.34,0.45,0.10,0.01,0.01,0.25,0.54,0.19,0.01,-2.78,2.95,-9.04,0.75,0.54,0.43,7.96,Driving
0.20,0.23,0.34,0.05,0.18,0.08,0.25,0.22,0.36,0.09,0.05,0.31,0.35,0.23,0.06,-2.95,2.68,-9.05,0.69,0.46,0.37,7.94,Driving
0.13,0.28,0.28,0.30,0.01,0.10,0.31,0.20,0.27,0.12,0.06,0.30,0.44,0.18,0.01,-3.26,2.62,-8.96,0.39,0.50,0.37,7.93,Driving
0.08,0.11,0.30,0.39,0.11,0.07,0.32,0.32,0.17,0.12,0.04,0.21,0.62,0.12,0.01,-3.05,2.42,-9.10,0.35,0.42,0.50,7.93,Driving
0.08,0.24,0.48,0.19,0.01,0.03,0.28,0.47,0.18,0.04,0.07,0.30,0.51,0.10,0.02,-2.86,2.38,-9.21,0.27,0.33,0.56,7.95,Driving
0.07,0.19,0.48,0.24,0.02,0.03,0.32,0.46,0.16,0.03,0.06,0.33,0.49,0.09,0.02,-2.82,2.36,-9.23,0.27,0.32,0.56,7.96,Driving
0.11,0.21,0.46,0.20,0.02,0.01,0.24,0.51,0.20,0.04,0.06,0.35,0.45,0.13,0.01,-2.84,2.43,-9.19,0.29,0.31,0.50,7.95,Driving
0.02,0.08,0.38,0.48,0.04,0.08,0.26,0.27,0.32,0.08,0.07,0.32,0.29,0.23,0.10,-2.70,2.30,-9.27,0.18,0.20,0.34,7.94,Driving
0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,-2.55,2.17,-9.42,0.00,0.00,0.00,8.00,Driving
0.07,0.19,0.28,0.28,0.18,0.21,0.19,0.13,0.38,0.10,0.10,0.25,0.42,0.15,0.08,-2.98,3.22,-8.89,0.29,0.62,0.57,7.96,Driving
0.08,0.30,0.37,0.16,0.08,0.13,0.25,0.42,0.15,0.06,0.05,0.35,0.51,0.06,0.03,-3.17,2.90,-8.97,0.30,0.53,0.39,7.98,Driving
0.05,0.20,0.35,0.27,0.13,0.11,0.40,0.37,0.09,0.04,0.05,0.44,0.45,0.05,0.02,-3.07,2.78,-9.04,0.30,0.47,0.37,7.97,Driving
0.23,0.55,0.20,0.01,0.01,0.01,0.08,0.50,0.34,0.06,0.01,0.01,0.60,0.36,0.02,-3.10,2.77,-9.04,0.33,0.47,0.50,7.97,Driving
0.16,0.45,0.28,0.06,0.05,0.05,0.05,0.19,0.55,0.16,0.01,0.02,0.70,0.26,0.01,-2.90,2.54,-9.17,0.47,0.55,0.49,7.99,Driving
0.06,0.26,0.41,0.15,0.11,0.12,0.11,0.18,0.50,0.08,0.01,0.05,0.68,0.26,0.01,-2.87,2.26,-9.24,0.68,0.74,0.57,8.00,Driving
0.06,0.19,0.27,0.31,0.16,0.17,0.16,0.38,0.19,0.11,0.01,0.08,0.65,0.26,0.01,-2.65,2.36,-9.27,0.74,0.94,0.61,8.01,Driving
0.06,0.07,0.16,0.38,0.33,0.24,0.26,0.29,0.09,0.11,0.04,0.28,0.40,0.23,0.04,-2.32,2.08,-9.43,0.75,0.98,0.53,8.01,Driving
0.08,0.08,0.24,0.45,0.16,0.16,0.39,0.22,0.10,0.12,0.10,0.34,0.31,0.21,0.04,-2.09,1.94,-9.53,0.91,1.06,0.59,8.05,Driving
0.13,0.34,0.33,0.06,0.14,0.14,0.35,0.34,0.11,0.06,0.06,0.22,0.40,0.28,0.04,-1.85,1.84,-9.64,0.56,0.88,0.46,8.04,Driving
0.01,0.44,0.23,0.18,0.15,0.11,0.13,0.17,0.43,0.15,0.08,0.13,0.25,0.51,0.03,-2.04,1.90,-9.56,0.64,0.75,0.41,8.01,Driving
0.06,0.12,0.11,0.61,0.10,0.06,0.14,0.56,0.14,0.10,0.05,0.22,0.50,0.21,0.03,-2.75,2.47,-9.21,1.05,0.85,0.51,8.02,Driving
0.09,0.07,0.10,0.23,0.51,0.09,0.07,0.40,0.30,0.15,0.43,0.17,0.26,0.11,0.03,-3.88,2.52,-8.79,1.62,1.02,0.54,8.10,Driving
0.11,0.08,0.13,0.30,0.37,0.11,0.08,0.23,0.36,0.23,0.02,0.26,0.45,0.22,0.05,-4.28,2.63,-8.61,1.57,1.17,0.58,8.13,Driving
0.15,0.14,0.18,0.34,0.19,0.15,0.13,0.11,0.26,0.36,0.03,0.05,0.52,0.33,0.08,-4.96,2.45,-8.40,1.48,1.31,0.56,8.20,Driving
0.10,0.03,0.05,0.22,0.59,0.07,0.04,0.28,0.41,0.20,0.05,0.35,0.36,0.18,0.06,-3.75,2.60,-8.76,1.48,0.94,0.66,8.03,Driving
0.04,0.17,0.29,0.33,0.16,0.06,0.29,0.30,0.27,0.09,0.07,0.26,0.46,0.16,0.04,-2.94,2.63,-9.14,0.38,0.44,0.47,7.97,Driving
0.17,0.60,0.21,0.00,0.01,0.07,0.29,0.30,0.26,0.08,0.07,0.27,0.44,0.18,0.05,-2.89,2.62,-9.13,0.46,0.44,0.48,7.96,Driving
0.17,0.33,0.25,0.19,0.07,0.11,0.11,0.20,0.44,0.15,0.09,0.32,0.36,0.20,0.03,-2.40,1.92,-9.45,0.76,0.97,0.60,8.01,Driving
0.16,0.12,0.26,0.36,0.09,0.23,0.19,0.22,0.19,0.18,0.14,0.46,0.23,0.14,0.04,-2.11,1.50,-9.63,0.79,1.17,0.63,8.06,Driving
0.23,0.29,0.31,0.13,0.04,0.21,0.30,0.20,0.22,0.07,0.11,0.48,0.30,0.08,0.02,-1.61,0.78,-9.94,0.39,0.76,0.39,8.11,Driving
0.51,0.00,0.12,0.21,0.16,0.11,0.22,0.10,0.05,0.52,0.05,0.23,0.16,0.06,0.50,-2.46,1.32,-9.60,0.70,0.96,0.47,8.06,Driving
0.99,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.99,0.01,0.00,0.00,0.44,0.56,-3.11,2.17,-9.19,0.12,0.14,0.13,7.96,Driving
0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.45,0.55,-3.11,2.18,-9.19,0.10,0.12,0.12,7.96,Driving
0.09,0.37,0.38,0.15,0.01,0.14,0.34,0.23,0.23,0.06,0.14,0.30,0.25,0.20,0.11,-3.12,2.19,-9.19,0.05,0.07,0.10,7.96,Driving
0.15,0.38,0.35,0.11,0.01,0.16,0.32,0.20,0.24,0.08,0.15,0.30,0.22,0.21,0.12,-3.12,2.19,-9.18,0.05,0.07,0.11,7.96,Driving
0.11,0.31,0.27,0.26,0.06,0.19,0.30,0.18,0.23,0.10,0.16,0.30,0.18,0.21,0.14,-3.12,2.19,-9.19,0.04,0.08,0.12,7.96,Driving
0.11,0.30,0.25,0.25,0.08,0.18,0.29,0.12,0.22,0.19,0.19,0.30,0.16,0.21,0.14,-3.12,2.19,-9.19,0.05,0.08,0.12,7.96,Driving
0.07,0.28,0.26,0.22,0.17,0.18,0.26,0.17,0.24,0.16,0.23,0.27,0.17,0.21,0.12,-3.12,2.19,-9.19,0.05,0.08,0.12,7.96,Driving
0.08,0.28,0.27,0.23,0.14,0.14,0.27,0.21,0.24,0.13,0.13,0.29,0.22,0.23,0.13,-3.12,2.19,-9.19,0.05,0.08,0.12,7.96,Driving
0.07,0.28,0.28,0.23,0.13,0.15,0.25,0.24,0.24,0.12,0.14,0.28,0.23,0.23,0.13,-3.12,2.19,-9.19,0.05,0.08,0.12,7.96,Driving
0.06,0.05,0.03,0.84,0.02,0.84,0.06,0.02,0.01,0.07,0.06,0.66,0.17,0.04,0.07,-3.25,2.41,-9.09,0.39,0.56,0.31,7.98,Driving
0.16,0.59,0.11,0.10,0.04,0.49,0.04,0.13,0.28,0.06,0.03,0.36,0.38,0.22,0.01,-2.98,3.28,-8.94,0.91,1.09,0.43,8.07,Driving
0.15,0.37,0.19,0.24,0.05,0.29,0.05,0.20,0.39,0.08,0.05,0.32,0.40,0.22,0.01,-2.49,3.70,-8.96,1.12,1.01,0.44,8.10,Driving
0.13,0.30,0.32,0.21,0.04,0.12,0.22,0.13,0.42,0.11,0.03,0.24,0.52,0.20,0.01,-2.44,3.63,-8.99,1.04,0.98,0.51,8.09,Driving
0.04,0.23,0.48,0.21,0.04,0.07,0.14,0.22,0.25,0.32,0.01,0.18,0.55,0.24,0.01,-2.17,2.88,-9.25,0.83,1.70,0.56,8.09,Driving
0.10,0.09,0.22,0.46,0.13,0.14,0.22,0.25,0.25,0.15,0.01,0.18,0.53,0.25,0.03,-3.06,1.88,-9.23,1.35,1.59,0.60,8.10,Driving
0.07,0.08,0.33,0.30,0.22,0.08,0.18,0.15,0.25,0.34,0.01,0.13,0.43,0.40,0.04,-3.58,1.66,-9.14,1.10,1.31,0.59,8.09,Driving
0.07,0.08,0.34,0.32,0.19,0.08,0.18,0.15,0.32,0.26,0.03,0.25,0.42,0.27,0.03,-3.63,1.58,-9.15,1.08,1.25,0.57,8.09,Driving
0.28,0.38,0.06,0.21,0.07,0.16,0.12,0.10,0.22,0.40,0.05,0.23,0.24,0.44,0.04,-2.44,1.75,-9.50,0.93,1.25,0.64,8.08,Driving
0.01,0.39,0.27,0.25,0.08,0.14,0.15,0.22,0.35,0.14,0.03,0.19,0.24,0.38,0.16,-2.53,2.20,-9.35,0.99,1.42,0.68,8.08,Driving
0.05,0.45,0.23,0.20,0.07,0.11,0.13,0.27,0.33,0.17,0.03,0.18,0.25,0.35,0.19,-2.75,2.38,-9.24,1.02,1.39,0.69,8.08,Driving
0.05,0.37,0.32,0.20,0.07,0.11,0.12,0.41,0.19,0.17,0.03,0.18,0.27,0.34,0.18,-2.71,2.30,-9.26,1.00,1.37,0.68,8.07,Driving
0.03,0.22,0.50,0.23,0.02,0.39,0.34,0.08,0.08,0.11,0.01,0.15,0.46,0.24,0.14,-3.10,2.83,-9.01,0.58,0.80,0.45,8.00,Driving
0.05,0.10,0.36,0.40,0.08,0.09,0.52,0.29,0.05,0.05,0.05,0.29,0.42,0.20,0.05,-2.97,2.42,-9.17,0.38,0.29,0.34,7.96,Driving
0.08,0.19,0.34,0.30,0.09,0.02,0.06,0.46,0.32,0.14,0.09,0.45,0.34,0.09,0.02,-2.98,2.40,-9.17,0.40,0.39,0.40,7.97,Driving
0.13,0.21,0.27,0.25,0.14,0.16,0.09,0.20,0.32,0.23,0.05,0.31,0.42,0.18,0.04,-2.88,2.15,-9.26,0.55,0.77,0.50,7.99,Driving
0.27,0.30,0.28,0.14,0.02,0.20,0.12,0.23,0.18,0.27,0.07,0.33,0.34,0.21,0.05,-2.97,2.06,-9.25,0.57,0.83,0.55,7.99,Driving
0.07,0.18,0.28,0.39,0.08,0.17,0.13,0.29,0.21,0.20,0.04,0.30,0.48,0.16,0.02,-2.56,2.54,-9.26,0.59,1.06,0.45,8.01,Driving
0.03,0.12,0.24,0.50,0.11,0.01,0.01,0.29,0.40,0.29,0.03,0.23,0.37,0.30,0.06,-2.39,3.34,-9.09,0.54,0.63,0.35,8.01,Driving
0.04,0.12,0.24,0.49,0.11,0.01,0.01,0.28,0.41,0.29,0.03,0.23,0.37,0.29,0.07,-2.40,3.34,-9.09,0.56,0.63,0.35,8.01,Driving
0.03,0.10,0.22,0.44,0.21,0.26,0.10,0.23,0.22,0.20,0.23,0.25,0.30,0.17,0.05,-2.23,2.42,-9.37,0.47,1.24,0.46,8.02,Driving
0.02,0.13,0.35,0.29,0.21,0.40,0.10,0.11,0.35,0.05,0.27,0.27,0.15,0.28,0.03,-2.30,1.80,-9.52,0.49,1.01,0.41,8.02,Driving
0.02,0.13,0.35,0.29,0.21,0.40,0.10,0.11,0.35,0.05,0.27,0.27,0.15,0.28,0.03,-2.30,1.81,-9.52,0.49,1.01,0.41,8.02,Driving
0.31,0.18,0.11,0.25,0.16,0.14,0.46,0.13,0.09,0.18,0.00,0.20,0.62,0.15,0.02,-3.25,1.75,-9.20,1.01,0.77,0.48,8.00,Driving
0.04,0.58,0.20,0.11,0.07,0.39,0.37,0.10,0.07,0.06,0.02,0.06,0.58,0.31,0.04,-3.92,1.70,-8.99,0.61,0.74,0.49,8.00,Driving
0.01,0.10,0.36,0.41,0.11,0.13,0.61,0.22,0.01,0.03,0.01,0.09,0.41,0.28,0.20,-3.00,2.34,-9.19,0.29,0.37,0.24,7.97,Driving
0.01,0.09,0.33,0.44,0.13,0.31,0.48,0.17,0.02,0.02,0.02,0.15,0.46,0.23,0.14,-2.90,2.19,-9.26,0.30,0.40,0.24,7.97,Driving
0.01,0.08,0.33,0.44,0.14,0.32,0.49,0.17,0.02,0.01,0.02,0.15,0.47,0.23,0.13,-2.90,2.17,-9.26,0.30,0.37,0.25,7.97,Driving
0.01,0.07,0.54,0.33,0.05,0.13,0.27,0.34,0.22,0.03,0.02,0.06,0.36,0.41,0.16,-2.88,2.22,-9.26,0.32,0.31,0.29,7.96,Driving
0.03,0.13,0.43,0.27,0.14,0.08,0.44,0.34,0.07,0.08,0.05,0.14,0.44,0.29,0.09,-2.83,2.54,-9.18,0.45,0.56,0.39,7.98,Driving
0.03,0.16,0.56,0.23,0.02,0.05,0.44,0.32,0.13,0.06,0.01,0.15,0.55,0.28,0.02,-2.96,2.69,-9.11,0.62,0.59,0.52,7.99,Driving
0.02,0.16,0.61,0.19,0.02,0.05,0.46,0.35,0.10,0.04,0.01,0.11,0.62,0.24,0.02,-2.98,2.66,-9.10,0.58,0.54,0.47,7.98,Driving
0.03,0.21,0.63,0.11,0.02,0.01,0.28,0.51,0.14,0.06,0.01,0.09,0.58,0.31,0.02,-3.10,2.77,-9.03,0.57,0.54,0.48,7.98,Driving
0.05,0.31,0.51,0.11,0.02,0.01,0.12,0.48,0.35,0.03,0.01,0.11,0.65,0.21,0.03,-3.04,2.54,-9.11,0.58,0.37,0.50,7.97,Driving
0.44,0.06,0.13,0.21,0.16,0.06,0.47,0.37,0.09,0.01,0.02,0.09,0.37,0.43,0.09,-1.60,2.97,-9.32,1.66,0.68,0.48,8.06,Driving
0.01,0.05,0.33,0.38,0.23,0.06,0.44,0.39,0.11,0.01,0.03,0.14,0.45,0.29,0.09,-0.29,3.53,-9.45,0.88,0.54,0.50,8.12,Driving
0.01,0.05,0.33,0.38,0.23,0.06,0.44,0.39,0.11,0.01,0.03,0.13,0.45,0.29,0.10,-0.29,3.53,-9.45,0.88,0.54,0.50,8.11,Driving
0.11,0.22,0.39,0.22,0.05,0.06,0.47,0.32,0.14,0.01,0.04,0.11,0.40,0.32,0.13,-0.59,3.51,-9.39,0.63,0.57,0.54,8.06,Driving
0.19,0.13,0.65,0.03,0.00,0.00,0.00,0.05,0.22,0.72,0.07,0.68,0.07,0.17,0.01,-4.54,-0.53,-7.14,2.99,2.25,4.40,8.11,Walking
0.19,0.26,0.48,0.06,0.01,0.01,0.44,0.54,0.01,0.00,0.11,0.61,0.09,0.17,0.01,-4.88,-1.49,-7.04,3.17,2.68,4.51,8.34,Walking
0.16,0.16,0.60,0.06,0.01,0.01,0.35,0.64,0.01,0.00,0.07,0.70,0.07,0.16,0.00,-5.50,-1.32,-6.98,2.55,2.48,4.09,8.27,Walking
0.11,0.60,0.22,0.07,0.00,0.04,0.22,0.73,0.01,0.00,0.05,0.70,0.16,0.08,0.01,-4.59,-2.28,-6.98,3.00,3.90,3.54,8.31,Walking
0.04,0.49,0.24,0.20,0.03,0.04,0.39,0.56,0.01,0.00,0.04,0.54,0.23,0.18,0.01,-2.69,-4.15,-5.56,3.70,5.08,3.86,8.25,Walking
0.08,0.34,0.31,0.25,0.03,0.01,0.11,0.45,0.06,0.37,0.39,0.18,0.37,0.06,0.00,-1.90,-5.56,-4.19,3.95,5.05,3.64,8.13,Walking
0.04,0.28,0.67,0.02,0.00,0.03,0.08,0.74,0.10,0.05,0.00,0.01,0.30,0.66,0.03,0.20,-9.01,-2.33,3.24,2.98,2.68,8.25,Walking
0.02,0.32,0.64,0.02,0.00,0.02,0.06,0.84,0.07,0.01,0.00,0.01,0.46,0.50,0.03,0.17,-9.27,-2.77,2.71,2.25,2.40,8.22,Walking
0.11,0.49,0.31,0.08,0.02,0.20,0.29,0.25,0.17,0.10,0.06,0.21,0.66,0.05,0.02,1.45,-9.59,-0.90,4.16,6.04,4.85,9.28,Walking
0.11,0.49,0.30,0.08,0.02,0.20,0.29,0.25,0.16,0.10,0.06,0.21,0.66,0.05,0.02,1.44,-9.58,-0.90,4.15,6.03,4.84,9.26,Walking
0.09,0.43,0.35,0.10,0.03,0.21,0.28,0.24,0.15,0.12,0.05,0.21,0.67,0.06,0.01,1.28,-9.48,-0.95,4.07,6.26,4.87,9.25,Walking
0.10,0.61,0.25,0.03,0.01,0.21,0.23,0.28,0.16,0.12,0.05,0.21,0.67,0.05,0.01,1.09,-9.59,-1.04,3.84,6.10,4.90,9.21,Walking
0.11,0.57,0.28,0.03,0.01,0.19,0.25,0.29,0.16,0.12,0.06,0.19,0.69,0.06,0.01,1.07,-9.61,-1.02,3.82,5.91,4.72,9.15,Walking
0.13,0.56,0.27,0.03,0.01,0.18,0.27,0.28,0.18,0.10,0.07,0.21,0.65,0.06,0.01,0.87,-9.65,-1.03,3.83,5.73,4.75,9.15,Walking
0.15,0.58,0.24,0.02,0.01,0.15,0.27,0.29,0.19,0.11,0.04,0.17,0.71,0.06,0.01,0.15,-9.68,-1.03,3.68,5.28,4.41,8.98,Walking
0.05,0.16,0.54,0.23,0.02,0.13,0.24,0.25,0.32,0.06,0.02,0.14,0.75,0.08,0.01,-2.52,-7.79,-0.94,5.37,5.65,4.42,8.82,Walking
0.06,0.22,0.39,0.30,0.03,0.08,0.17,0.23,0.36,0.15,0.01,0.11,0.66,0.21,0.01,-4.76,-4.94,0.61,5.45,6.09,4.79,8.66,Walking
0.03,0.18,0.18,0.39,0.22,0.04,0.06,0.17,0.31,0.42,0.01,0.03,0.35,0.39,0.23,-4.81,-0.88,3.33,5.15,5.76,5.27,8.34,Walking
0.02,0.17,0.13,0.18,0.50,0.04,0.16,0.15,0.23,0.42,0.00,0.01,0.11,0.40,0.48,-4.27,2.14,5.27,5.23,3.55,4.93,8.21,Walking
0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.80,1.69,-9.56,0.17,0.87,0.75,7.95,Driving
0.00,0.00,0.06,0.90,0.04,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.76,1.70,-9.58,0.23,0.69,0.60,7.95,Driving
0.03,0.04,0.81,0.10,0.01,0.04,0.86,0.09,0.01,0.01,0.00,0.05,0.83,0.11,0.01,-1.86,1.75,-9.58,0.66,0.45,0.37,7.95,Driving
0.04,0.13,0.69,0.13,0.02,0.05,0.77,0.15,0.02,0.01,0.01,0.07,0.73,0.17,0.02,-2.00,1.80,-9.54,0.82,0.57,0.48,7.97,Driving
